subject,time_spent,recall_score,previous_interval,next_study_interval
Geography,46.06,4.25,4.16,10.52
Geography,71.64,1.49,0.69,1.0
CS,65.21,3.83,3.49,8.65
Physics,49.22,3.21,1.29,3.09
Math,39.83,2.66,2.15,4.95
History,20.75,2.76,8.15,18.91
Geography,66.99,3.29,0.11,1.0
Geography,28.7,1.0,2.08,1.0
Biology,61.91,2.8,5.78,13.45
History,54.73,2.62,2.66,6.11
Geography,73.58,4.03,0.97,2.43
History,53.96,2.69,1.52,3.51
Physics,53.41,3.28,3.42,8.22
Biology,74.64,5.0,6.64,17.26
History,66.7,4.49,0.13,1.0
Math,66.32,4.4,0.22,1.0
Math,69.39,3.0,1.18,2.78
Chemistry,29.29,4.04,0.79,1.98
Biology,75.14,3.27,0.92,2.21
Biology,72.25,3.3,0.75,1.8
Chemistry,39.67,3.91,0.65,1.62
History,55.12,2.9,0.42,1.0
Biology,59.21,4.99,8.15,21.18
Math,57.31,3.34,0.47,1.13
Math,66.68,4.12,0.69,1.73
Geography,88.63,4.96,0.85,2.21
Physics,81.64,4.53,8.11,20.75
Biology,33.76,2.09,4.23,9.3
History,72.44,3.94,4.68,11.67
Chemistry,86.58,4.35,0.33,1.0
Chemistry,67.74,4.39,5.43,13.81
History,81.82,2.39,1.57,3.54
CS,100.25,2.84,0.91,2.12
Literature,80.47,4.49,2.57,6.56
Physics,64.99,2.74,5.18,12.0
Chemistry,80.9,3.2,4.52,10.81
Biology,62.9,5.0,6.62,17.21
Physics,60.48,3.45,7.9,19.18
Biology,52.97,2.77,0.82,1.9
CS,91.27,2.62,1.65,3.79
Math,43.63,3.83,0.04,1.0
Physics,90.65,2.17,6.34,14.03
Geography,70.0,3.25,0.5,1.2
Chemistry,32.01,3.83,5.93,14.7
Physics,67.35,4.8,1.2,3.1
Physics,18.0,4.17,1.38,3.48
Physics,72.51,2.79,0.12,1.0
Literature,77.7,4.68,1.19,3.06
Physics,48.15,3.2,6.58,15.73
Biology,62.47,2.26,0.08,1.0
Math,99.08,3.33,1.56,3.76
CS,49.89,4.94,0.1,1.0
History,38.82,3.67,1.39,3.42
Physics,89.63,3.51,0.57,1.39
Chemistry,99.25,5.0,0.87,2.26
Physics,60.07,2.07,6.3,13.82
Chemistry,80.23,2.21,1.72,3.82
Biology,86.83,1.88,0.96,1.0
Chemistry,45.15,3.87,2.67,6.63
Geography,50.29,3.67,0.46,1.13
History,84.62,5.0,0.9,2.34
Math,93.7,3.74,2.37,5.85
Chemistry,71.26,3.1,0.81,1.92
Chemistry,42.4,3.5,3.41,8.3
Math,99.74,3.62,2.03,4.98
History,49.38,1.83,4.44,1.0
Physics,53.3,5.0,8.88,23.09
Chemistry,66.85,4.02,0.37,1.0
Math,91.08,3.71,1.22,3.01
Geography,77.08,4.12,1.15,2.89
Geography,68.3,4.21,0.49,1.24
Biology,69.27,3.36,4.99,12.05
Math,60.87,2.87,4.28,10.01
Biology,71.16,4.1,1.99,5.0
Geography,9.41,3.89,2.32,5.77
History,54.07,2.69,0.18,1.0
Physics,64.83,4.92,2.43,6.3
Math,36.98,3.79,4.7,11.63
CS,67.73,4.23,2.56,6.47
Geography,55.91,4.89,0.92,2.38
Geography,95.11,3.52,3.3,8.04
CS,91.46,3.82,1.35,3.34
Literature,50.68,4.31,2.36,5.98
Geography,56.98,2.78,2.01,4.67
Chemistry,58.52,3.55,1.44,3.52
History,50.97,3.63,3.81,9.35
Math,63.9,2.54,6.46,14.74
CS,44.83,5.0,0.02,1.0
Chemistry,37.39,2.09,8.14,17.89
CS,72.45,2.2,2.15,4.77
Math,72.59,4.81,3.62,9.35
Biology,43.91,4.21,5.81,14.67
Math,77.91,2.47,1.89,4.29
Literature,47.37,4.11,5.4,13.57
Math,65.06,4.97,0.59,1.53
Math,76.41,3.47,0.52,1.26
Literature,59.33,5.0,3.21,8.35
History,69.09,1.78,6.12,1.0
Geography,49.67,4.19,6.69,16.87
Math,56.07,4.67,3.1,7.97
Literature,55.88,4.39,2.24,5.7
Chemistry,45.07,3.3,1.21,2.91
Biology,56.46,3.21,11.74,28.09
Biology,29.03,3.94,1.16,2.89
Math,50.18,4.32,4.09,10.37
History,54.3,4.1,2.28,5.73
History,54.88,4.54,2.81,7.19
Chemistry,55.17,2.48,1.5,3.41
Math,58.76,3.27,10.04,24.11
Biology,69.59,2.56,2.54,5.81
History,77.49,3.11,8.33,19.8
Math,47.0,4.52,0.02,1.0
CS,35.94,3.61,2.55,6.25
History,39.16,5.0,3.79,9.85
Literature,50.26,3.69,4.1,10.09
CS,52.96,3.56,7.06,17.25
Geography,44.6,3.61,0.01,1.0
History,34.08,2.86,0.0,1.0
Biology,50.88,3.44,1.92,4.66
Physics,63.63,4.63,0.09,1.0
CS,71.9,3.61,11.01,26.98
Geography,48.85,2.71,0.75,1.73
Chemistry,51.74,2.57,1.92,4.39
Chemistry,41.47,3.05,0.19,1.0
Biology,59.37,3.57,2.21,5.4
History,43.03,4.69,1.43,3.68
Math,71.46,2.16,0.14,1.0
History,24.28,3.18,1.22,2.91
Biology,52.81,3.64,1.49,3.66
Chemistry,66.02,1.67,13.79,1.0
History,63.68,2.67,0.7,1.61
Chemistry,113.86,2.82,2.36,5.5
CS,67.0,2.7,13.1,30.26
Geography,39.92,3.69,4.71,11.59
Math,58.09,3.34,15.05,36.3
CS,24.48,2.94,10.35,24.33
Chemistry,58.39,3.93,2.02,5.03
Chemistry,43.34,5.0,3.58,9.31
Physics,78.31,5.0,0.35,1.0
Physics,49.01,1.58,1.75,1.0
CS,57.66,4.08,4.97,12.47
Literature,47.29,3.32,2.11,5.08
CS,94.78,3.66,3.64,8.94
Physics,53.58,3.1,4.11,9.76
Chemistry,96.65,3.62,0.88,2.16
Biology,76.28,3.65,6.26,15.37
CS,69.64,2.92,1.85,4.34
Chemistry,67.37,2.6,0.71,1.63
Biology,67.88,3.05,6.02,14.26
Biology,21.45,3.73,1.62,4.0
Physics,54.42,4.1,4.16,10.45
CS,76.9,4.35,2.38,6.04
History,59.02,3.01,1.44,3.4
Math,31.9,3.78,4.98,12.31
Physics,58.95,4.46,2.63,6.71
Physics,94.08,4.67,1.49,3.83
History,84.94,3.44,0.35,1.0
Math,58.76,3.28,6.77,16.27
Chemistry,79.03,3.69,0.11,1.0
Literature,52.67,2.35,5.97,13.42
CS,25.92,3.31,1.34,3.23
Literature,41.51,4.24,3.06,7.73
Chemistry,91.26,4.14,7.66,19.28
Geography,54.52,3.23,0.49,1.17
Physics,55.13,3.72,2.51,6.19
Math,54.0,2.68,4.34,10.01
Physics,98.08,4.2,4.25,10.72
Biology,92.52,3.42,2.24,5.43
Physics,104.38,3.22,2.94,7.04
Physics,56.82,3.14,4.25,10.12
Chemistry,65.91,3.44,5.52,13.39
Chemistry,29.67,3.05,4.3,10.18
Chemistry,89.54,4.16,1.31,3.3
Literature,36.64,3.1,17.17,40.79
Biology,64.34,5.0,1.71,4.45
Geography,38.05,4.97,0.07,1.0
Geography,48.22,2.61,1.35,3.1
Chemistry,43.25,3.57,0.41,1.0
Math,47.84,2.85,0.39,1.0
Literature,49.22,3.17,0.99,2.36
History,49.03,5.0,0.16,1.0
Math,76.67,3.19,3.5,8.36
CS,37.9,3.86,0.23,1.0
CS,64.41,4.04,0.68,1.7
Math,84.36,2.5,0.29,1.0
Chemistry,49.74,2.64,0.2,1.0
History,45.64,2.29,0.93,2.08
History,55.39,2.61,2.55,5.85
Literature,83.59,1.0,10.03,1.0
History,63.88,4.04,6.25,15.65
CS,49.38,5.0,6.26,16.28
Biology,69.68,3.65,0.58,1.42
Chemistry,37.95,2.08,0.92,2.02
History,73.63,2.86,0.24,1.0
Literature,68.17,3.04,4.52,10.7
CS,53.84,2.48,0.22,1.0
Biology,43.23,4.36,2.44,6.2
Physics,42.27,4.31,0.85,2.15
Physics,70.7,2.34,0.84,1.89
Biology,84.58,4.23,14.04,35.47
CS,47.25,5.0,4.24,11.02
Literature,69.17,5.0,5.44,14.14
Biology,18.26,5.0,2.55,6.63
Chemistry,48.31,2.6,6.14,14.08
Chemistry,59.38,5.0,3.11,8.09
Physics,41.81,3.15,8.77,20.9
History,41.27,2.91,0.99,2.32
Literature,46.64,3.83,2.71,6.72
Physics,65.84,2.92,3.51,8.24
History,56.25,3.9,1.5,3.73
History,15.24,2.18,6.35,14.07
Geography,17.59,3.26,11.71,28.11
Chemistry,47.86,4.79,2.04,5.27
CS,69.15,3.44,1.49,3.62
Math,5.05,3.64,1.92,4.71
CS,50.01,3.98,5.75,14.36
Math,49.48,4.67,3.11,8.0
Biology,87.77,1.84,0.14,1.0
Chemistry,52.3,4.08,2.34,5.87
History,67.66,3.23,0.05,1.0
Literature,62.83,3.67,4.52,11.11
Math,17.39,4.56,1.19,3.05
CS,75.36,2.31,1.92,4.3
History,64.31,2.49,4.81,10.93
Math,70.17,1.56,0.14,1.0
Math,138.52,2.95,0.52,1.22
Geography,18.32,4.83,1.52,3.93
Math,94.49,3.38,0.78,1.89
Literature,54.25,2.16,1.24,2.74
Chemistry,65.75,3.01,18.92,44.68
Literature,59.09,2.01,5.24,11.43
Physics,51.52,2.37,6.46,14.54
History,48.6,3.89,8.3,20.64
Chemistry,66.59,2.33,1.25,2.8
Geography,29.66,4.61,1.06,2.72
Chemistry,75.01,3.43,0.8,1.94
Chemistry,51.68,3.59,5.32,13.02
CS,37.4,3.22,3.41,8.16
Chemistry,51.0,4.27,0.81,2.05
Geography,85.14,4.28,1.42,3.6
Literature,49.29,3.84,2.12,5.26
Chemistry,67.17,4.06,2.25,5.64
Biology,45.38,3.29,6.59,15.85
History,75.16,4.04,1.44,3.61
Chemistry,73.71,3.16,7.18,17.12
History,96.97,3.5,1.75,4.26
Biology,56.49,3.23,4.12,9.87
Biology,73.37,3.04,7.99,18.91
History,61.96,2.81,7.14,16.63
Math,85.92,3.97,0.18,1.0
Physics,45.62,4.81,0.69,1.78
CS,74.9,4.67,1.94,4.99
Math,56.11,2.24,1.69,3.76
Math,58.72,4.79,3.07,7.93
Literature,61.84,3.18,8.69,20.75
CS,65.04,4.1,0.36,1.0
CS,57.68,2.59,1.8,4.12
Math,64.29,3.64,0.64,1.57
Chemistry,91.56,3.81,6.74,16.69
Literature,79.71,2.02,10.02,21.88
Literature,77.38,4.11,1.95,4.9
Biology,50.89,4.85,0.33,1.0
Geography,42.22,3.33,4.62,11.14
CS,79.11,4.86,3.58,9.27
Math,77.52,3.31,1.31,3.15
Biology,89.45,4.35,6.55,16.63
History,47.92,1.28,11.17,1.0
Physics,55.41,5.0,2.45,6.37
Geography,27.21,5.0,2.5,6.5
Geography,52.15,3.22,1.06,2.54
Geography,79.93,1.53,2.63,1.0
Literature,50.67,3.79,1.74,4.3
History,72.81,2.06,1.08,2.37
Geography,56.19,3.94,0.21,1.0
History,66.48,3.91,0.87,2.17
Chemistry,37.05,2.56,0.66,1.51
Geography,61.7,4.62,2.34,6.01
Physics,0.18,4.31,2.76,7.0
History,56.26,4.48,2.81,7.17
History,27.39,3.51,1.47,3.58
Physics,84.12,2.08,1.64,3.6
Geography,75.55,4.48,5.39,13.76
Physics,69.33,3.23,1.94,4.65
History,90.42,2.11,13.21,29.09
Physics,41.02,4.85,1.74,4.5
History,94.95,5.0,3.15,8.19
History,78.64,3.46,0.16,1.0
Chemistry,55.27,5.0,3.18,8.27
Math,82.71,3.59,5.72,14.0
History,37.87,3.12,8.57,20.39
Geography,43.51,2.87,17.77,41.56
Biology,47.83,5.0,0.99,2.57
Literature,49.42,2.72,2.57,5.95
CS,38.87,4.24,1.8,4.55
Math,84.46,2.94,2.49,5.85
Math,54.82,3.04,0.51,1.21
Math,67.05,4.53,5.82,14.89
Chemistry,48.59,3.12,7.21,17.15
History,23.59,3.1,1.79,4.25
Chemistry,65.4,4.63,0.99,2.54
History,21.75,5.0,0.46,1.2
Geography,58.63,4.14,3.45,8.68
Chemistry,32.63,2.85,1.12,2.62
Chemistry,99.75,2.99,7.21,17.0
Literature,78.23,3.58,3.34,8.17
Biology,62.12,3.82,3.11,7.71
Chemistry,85.27,2.51,2.46,5.6
Literature,43.07,4.22,0.14,1.0
Physics,70.87,3.59,8.06,19.73
Biology,64.0,1.78,2.97,1.0
Geography,65.28,2.57,15.38,35.18
Chemistry,85.45,3.0,2.31,5.45
CS,74.65,3.43,3.71,9.0
Math,65.77,5.0,0.17,1.0
Physics,26.9,3.74,3.0,7.4
Physics,40.8,2.66,4.34,10.0
Geography,57.55,3.72,4.52,11.14
Literature,61.87,3.15,4.41,10.51
Physics,37.4,3.82,0.77,1.91
Biology,108.23,4.08,11.11,27.88
Chemistry,90.33,4.71,16.01,41.23
Chemistry,72.04,3.48,0.24,1.0
CS,61.44,5.0,8.27,21.5
Geography,55.76,4.41,1.03,2.62
Math,40.96,2.79,3.51,8.16
Literature,61.55,5.0,1.24,3.22
Math,65.16,3.83,10.3,25.53
Physics,35.16,2.66,0.32,1.0
Geography,66.68,5.0,2.07,5.38
CS,56.89,5.0,1.68,4.37
Math,21.84,3.47,1.18,2.87
Biology,42.79,3.0,3.11,7.34
Chemistry,51.73,3.33,0.42,1.01
Physics,97.75,4.21,3.78,9.54
CS,71.13,4.78,11.83,30.54
Math,33.29,4.07,4.9,12.29
Literature,69.72,3.6,5.9,14.45
Biology,29.05,5.0,1.34,3.48
Biology,81.65,3.19,1.18,2.82
Math,50.58,4.53,2.18,5.58
Chemistry,58.13,3.21,0.14,1.0
Math,86.52,3.93,8.72,21.73
Physics,34.26,3.39,0.47,1.14
Math,32.06,3.44,7.0,16.99
Biology,48.33,3.12,0.26,1.0
CS,80.77,4.84,5.19,13.42
Math,29.61,2.77,0.49,1.14
Chemistry,3.36,2.76,0.12,1.0
Geography,50.98,5.0,3.81,9.91
CS,71.03,4.48,0.99,2.53
Literature,84.01,1.11,3.76,1.0
History,50.74,2.93,2.43,5.71
Math,51.77,1.69,0.35,1.0
Chemistry,83.08,2.55,8.07,18.43
CS,22.61,1.0,1.81,1.0
Chemistry,52.23,3.36,3.98,9.61
Literature,63.81,2.36,2.09,4.7
Biology,68.98,3.56,2.78,6.79
Chemistry,49.8,1.87,1.08,1.0
CS,60.69,3.58,0.67,1.64
Chemistry,10.23,3.09,2.35,5.58
Chemistry,46.84,5.0,1.74,4.52
Chemistry,69.07,4.91,1.48,3.84
Physics,40.35,4.29,3.35,8.49
Physics,61.18,3.17,3.52,8.4
Biology,68.94,5.0,0.14,1.0
Math,53.15,1.95,1.24,1.0
Chemistry,63.41,2.1,1.59,3.5
Literature,40.75,3.42,0.31,1.0
Math,55.87,5.0,0.81,2.11
Literature,72.2,3.3,0.16,1.0
Math,63.14,3.32,16.75,40.35
Biology,48.27,2.06,4.0,8.77
Chemistry,64.48,4.45,0.27,1.0
Chemistry,74.29,4.45,0.06,1.0
History,19.0,4.29,3.81,9.65
Literature,83.18,2.87,1.74,4.07
Math,53.27,2.79,4.64,10.79
Math,68.51,2.21,7.71,17.12
Geography,83.94,3.58,2.74,6.7
Geography,32.57,2.42,0.62,1.4
Physics,45.81,2.32,4.57,10.25
History,54.23,3.08,9.36,22.21
CS,44.32,3.01,2.6,6.14
Geography,94.7,2.96,3.44,8.1
CS,42.86,3.97,1.24,3.1
Physics,48.89,3.58,1.44,3.52
Physics,64.09,3.21,3.98,9.52
Physics,35.96,3.68,7.88,19.38
Literature,52.09,2.51,2.97,6.76
Literature,66.35,3.61,4.68,11.47
Biology,53.34,3.65,0.56,1.38
Biology,58.13,2.0,0.71,1.0
Physics,49.41,4.5,2.28,5.83
History,29.71,2.62,0.58,1.33
Math,66.43,3.59,3.02,7.39
Literature,95.1,4.66,1.03,2.65
History,60.37,4.43,4.7,11.98
Chemistry,64.51,3.53,4.95,12.07
Literature,73.85,3.14,1.87,4.45
Literature,34.61,4.45,0.6,1.53
Biology,94.05,4.17,3.12,7.86
Math,64.05,2.88,14.8,34.64
Math,92.64,2.71,2.92,6.75
Geography,45.34,1.43,0.11,1.0
CS,96.36,3.65,0.05,1.0
CS,75.5,3.42,1.16,2.81
CS,71.06,4.64,0.65,1.67
CS,64.68,3.86,5.03,12.49
Chemistry,55.03,4.83,5.59,14.45
Chemistry,84.01,2.8,0.9,2.09
Literature,62.81,4.64,1.18,3.03
Physics,20.66,2.97,0.81,1.91
Biology,37.66,4.28,7.17,18.15
Biology,56.28,2.04,2.1,4.59
CS,66.2,3.74,3.2,7.9
Literature,58.87,1.52,1.61,1.0
Geography,84.38,3.23,2.99,7.16
History,20.98,3.94,1.46,3.64
Physics,62.87,2.98,1.25,2.95
Literature,23.64,2.45,3.02,6.84
Physics,75.19,4.35,2.68,6.81
Physics,58.11,3.4,1.04,2.52
Physics,68.39,3.01,0.49,1.16
Literature,42.72,3.54,1.38,3.37
CS,85.59,5.0,1.61,4.19
Biology,80.83,4.65,2.97,7.63
Biology,71.67,4.66,7.38,18.97
CS,57.41,3.94,0.11,1.0
Physics,71.6,3.67,0.84,2.06
History,45.86,1.1,0.65,1.0
Math,77.11,2.82,2.09,4.87
Literature,92.99,3.02,1.68,3.97
Math,81.41,1.63,3.92,1.0
Geography,45.41,2.34,0.83,1.86
CS,67.23,1.52,2.71,1.0
History,34.14,3.46,6.46,15.69
Literature,71.45,4.32,7.25,18.39
CS,69.01,4.61,9.57,24.55
Physics,22.6,3.91,4.45,11.08
Biology,36.76,2.54,7.09,16.18
Math,54.34,1.57,0.8,1.0
Chemistry,53.98,1.74,0.66,1.0
Chemistry,35.81,2.23,0.02,1.0
History,67.78,2.61,3.68,8.44
Physics,65.03,3.34,8.32,20.07
Geography,56.11,2.49,0.62,1.41
Math,44.88,3.84,3.04,7.54
Physics,80.97,3.27,4.12,9.9
Math,93.11,3.51,7.88,19.2
History,50.33,4.64,3.12,8.01
History,47.76,2.32,10.55,23.65
Geography,69.82,3.92,1.27,3.16
Chemistry,52.84,3.49,1.29,3.14
Physics,57.21,3.17,2.35,5.61
Literature,74.79,4.39,1.45,3.69
Chemistry,21.81,4.38,0.0,1.0
Physics,86.37,2.55,3.95,9.02
Chemistry,61.45,3.32,4.18,10.07
Literature,51.77,3.78,4.12,10.19
Biology,58.22,3.23,1.27,3.04
Biology,59.25,4.09,2.22,5.57
Geography,25.38,3.78,1.34,3.31
Biology,89.9,5.0,0.05,1.0
Biology,60.83,1.97,2.48,1.0
CS,68.86,3.38,0.4,1.0
Math,79.03,2.59,0.25,1.0
CS,39.58,4.1,4.23,10.62
CS,69.47,1.88,0.03,1.0
Geography,54.65,3.85,9.58,23.77
CS,76.94,2.87,2.17,5.08
Biology,17.46,2.77,12.23,28.4
Literature,58.02,2.05,0.18,1.0
Geography,47.94,3.03,2.63,6.22
Geography,68.65,4.58,1.29,3.31
History,69.4,3.47,5.56,13.52
Geography,45.85,4.13,1.34,3.37
History,45.76,5.0,0.91,2.37
Geography,57.79,3.76,5.85,14.45
Math,42.07,2.94,1.41,3.31
Biology,76.84,3.97,0.05,1.0
Geography,52.62,2.96,1.48,3.48
Biology,1.86,3.0,3.19,7.53
Biology,52.5,1.98,0.88,1.0
Chemistry,39.23,4.43,1.7,4.33
Geography,27.37,3.11,0.18,1.0
Physics,35.25,3.68,2.66,6.54
Chemistry,62.19,2.46,4.24,9.62
Physics,86.57,3.94,1.6,3.99
Biology,66.26,2.74,1.64,3.8
Biology,47.87,3.36,0.28,1.0
Chemistry,69.12,4.38,0.68,1.73
Chemistry,50.82,4.29,0.5,1.27
Physics,46.11,3.48,1.97,4.79
History,36.91,1.73,2.26,1.0
Physics,24.96,5.0,8.92,23.19
Chemistry,52.2,5.0,0.23,1.0
Literature,63.16,4.22,2.75,6.94
Chemistry,58.07,2.75,2.24,5.19
Literature,51.68,3.39,2.18,5.27
Math,41.09,2.96,6.19,14.57
Chemistry,72.16,4.76,0.69,1.78
Math,33.66,3.76,0.12,1.0
History,75.52,2.72,3.35,7.75
Physics,39.96,3.03,1.27,3.0
Literature,44.95,4.62,0.05,1.0
Physics,30.66,5.0,0.87,2.26
Math,49.97,5.0,1.11,2.89
Literature,79.51,4.26,2.88,7.29
Physics,70.31,3.25,0.57,1.37
Chemistry,79.57,1.0,1.6,1.0
Biology,70.44,3.8,1.98,4.9
Math,37.93,3.5,1.84,4.48
Physics,53.38,3.64,10.94,26.85
Math,44.4,3.55,0.14,1.0
CS,86.61,2.17,9.05,20.03
Math,36.06,4.06,2.62,6.57
Literature,77.87,4.13,4.76,11.97
CS,77.86,4.18,1.69,4.26
Geography,96.59,4.45,1.81,4.62
Literature,51.81,4.1,6.34,15.92
Biology,74.25,3.09,6.79,16.12
CS,105.63,3.43,0.82,1.99
Geography,47.65,3.59,0.67,1.64
Chemistry,29.3,3.61,2.06,5.05
Math,22.4,4.5,6.92,17.68
Physics,74.25,4.14,1.17,2.94
History,22.34,5.0,3.17,8.24
Math,52.55,5.0,3.69,9.59
Geography,68.75,3.58,4.52,11.06
Math,63.7,1.0,2.49,1.0
Biology,68.51,4.74,1.54,3.97
Chemistry,64.45,2.96,10.24,24.1
History,85.58,2.7,2.84,6.56
CS,40.95,3.1,3.91,9.29
CS,46.46,3.05,1.27,3.01
CS,44.55,4.11,3.33,8.37
Geography,76.6,1.94,0.89,1.0
Literature,78.01,2.42,0.84,1.9
Literature,69.02,3.84,3.76,9.33
Physics,83.67,4.12,2.21,5.56
History,36.44,4.14,3.45,8.68
CS,93.34,2.71,0.94,2.17
Literature,90.46,2.52,2.74,6.24
Geography,74.71,2.99,1.76,4.15
Physics,95.64,3.74,2.73,6.74
Chemistry,26.87,4.99,1.03,2.68
Physics,49.51,1.45,3.77,1.0
Literature,45.29,3.28,4.92,11.82
Biology,74.43,2.17,0.9,1.99
Geography,39.0,1.85,1.07,1.0
Biology,75.15,4.47,3.25,8.29
CS,87.41,4.04,3.57,8.94
Biology,73.9,3.95,3.65,9.1
CS,65.68,4.42,3.44,8.76
CS,40.24,3.02,1.5,3.54
Literature,43.06,3.07,1.51,3.58
Biology,84.99,5.0,0.88,2.29
CS,75.59,3.25,0.51,1.22
History,59.22,4.24,3.54,8.95
Chemistry,51.64,3.51,0.29,1.0
Physics,19.48,1.65,8.33,1.0
Physics,38.58,1.46,5.26,1.0
Literature,98.23,2.92,5.85,13.73
Biology,34.39,4.56,7.11,18.21
Biology,63.79,4.29,1.58,4.0
CS,80.15,4.41,5.63,14.33
Geography,34.9,2.51,0.52,1.18
Math,63.69,5.0,0.07,1.0
CS,78.76,2.54,4.61,10.52
Chemistry,60.25,3.71,0.23,1.0
History,117.37,3.49,13.4,32.61
Physics,26.63,3.33,3.37,8.12
CS,81.17,4.84,4.2,10.86
Math,56.54,2.79,0.85,1.98
Math,75.44,2.15,3.36,7.42
CS,68.83,3.52,0.13,1.0
Literature,45.34,3.1,5.46,12.97
Physics,64.58,5.0,0.56,1.46
Literature,22.84,4.18,3.59,9.05
History,72.06,3.09,0.76,1.8
Math,65.96,2.44,0.21,1.0
Math,72.77,1.62,1.97,1.0
Chemistry,81.16,2.47,0.56,1.27
History,67.35,3.61,3.92,9.6
Math,62.96,4.93,0.81,2.1
History,42.38,4.62,1.26,3.23
Physics,45.76,3.73,2.51,6.19
Biology,83.73,3.18,1.01,2.41
Math,88.73,3.77,1.42,3.51
Chemistry,55.24,2.98,5.07,11.95
Physics,60.92,5.0,0.59,1.53
CS,41.91,3.31,0.26,1.0
History,83.46,3.41,1.19,2.88
CS,73.31,1.28,1.66,1.0
Literature,98.82,3.3,2.35,5.65
Physics,42.43,4.34,1.4,3.55
CS,52.44,2.43,4.68,10.59
Geography,64.63,2.75,0.12,1.0
Geography,72.93,4.29,1.7,4.31
Math,55.69,2.02,1.45,3.17
History,42.54,4.56,3.13,8.02
Biology,77.63,2.97,10.17,23.95
Physics,74.42,3.11,2.14,5.09
Math,41.67,2.38,13.0,29.29
Chemistry,87.11,3.88,1.08,2.68
Literature,83.4,5.0,0.09,1.0
History,62.69,4.28,0.54,1.37
Physics,61.59,2.64,1.51,3.47
Geography,71.08,4.64,1.14,2.93
Physics,42.77,3.18,0.31,1.0
Biology,60.6,4.87,1.7,4.4
Geography,16.95,4.31,1.24,3.14
Biology,77.53,1.0,0.39,1.0
Chemistry,28.77,2.5,1.05,2.39
Literature,90.07,4.44,6.53,16.64
Chemistry,53.4,3.65,1.08,2.65
Math,55.77,2.48,3.75,8.52
Math,47.45,2.87,2.84,6.64
Chemistry,54.24,1.59,1.67,1.0
Literature,88.37,3.41,0.82,1.99
Chemistry,10.24,5.0,1.38,3.59
Literature,85.54,4.3,2.69,6.82
Literature,66.76,5.0,1.3,3.38
CS,35.86,4.38,0.73,1.86
Geography,38.49,4.53,0.37,1.0
History,93.53,5.0,6.35,16.51
Literature,41.09,3.88,1.74,4.32
Biology,36.93,3.31,2.94,7.08
Literature,82.75,4.53,2.02,5.17
Literature,66.77,4.95,6.18,16.04
Literature,41.24,3.02,2.38,5.62
CS,64.33,2.78,1.97,4.58
Geography,39.48,3.64,7.75,19.02
CS,82.02,4.33,3.82,9.69
Math,81.23,4.3,0.35,1.0
CS,70.64,2.08,0.59,1.3
Biology,67.23,5.0,4.64,12.06
Biology,95.22,2.86,5.42,12.67
CS,59.99,3.23,2.36,5.65
Geography,36.36,2.6,2.43,5.57
Chemistry,68.99,5.0,3.0,7.8
History,101.72,3.74,1.73,4.27
Geography,39.7,2.65,3.42,7.87
CS,52.77,4.36,0.34,1.0
Literature,68.33,4.27,9.75,24.68
Physics,58.92,3.31,4.16,10.02
History,40.35,4.34,2.99,7.59
History,82.44,2.67,1.14,2.63
Biology,106.4,3.01,0.53,1.25
History,63.92,1.49,1.58,1.0
CS,41.92,2.18,3.25,7.2
Literature,29.02,5.0,3.01,7.83
Literature,65.16,5.0,1.45,3.77
Math,82.08,3.57,2.85,6.97
Literature,69.5,5.0,5.04,13.1
Geography,59.95,3.34,0.08,1.0
Literature,48.21,3.26,1.8,4.32
Biology,38.16,3.56,4.26,10.41
Literature,76.7,3.38,2.37,5.73
Math,78.28,3.28,3.16,7.59
Physics,29.09,4.64,2.18,5.6
CS,91.8,3.65,14.44,35.46
Biology,71.48,4.21,0.17,1.0
Geography,87.99,4.53,2.03,5.19
Physics,33.16,3.89,0.29,1.0
Biology,32.68,2.53,0.52,1.19
Chemistry,57.02,2.15,1.45,3.2
History,70.06,3.65,0.51,1.25
Chemistry,95.93,3.33,9.95,23.99
Literature,74.12,3.59,8.8,21.54
Physics,55.15,3.48,1.23,2.99
Literature,39.47,5.0,3.06,7.96
History,84.6,2.17,2.29,5.07
Biology,40.71,1.51,5.07,1.0
History,92.57,3.83,2.96,7.34
Math,54.31,3.12,0.0,1.0
History,91.81,3.82,4.32,10.7
Math,73.58,4.08,4.12,10.34
History,57.26,4.78,2.14,5.52
CS,49.61,1.99,7.0,1.0
Math,53.18,2.94,7.17,16.85
Physics,68.57,3.93,2.23,5.56
Literature,61.54,4.27,2.81,7.11
Geography,48.12,5.0,16.98,44.15
Literature,56.69,4.46,1.06,2.7
Chemistry,61.57,3.44,1.18,2.86
Literature,17.43,2.61,0.61,1.4
Biology,69.16,2.94,6.79,15.96
CS,40.41,2.91,4.09,9.59
History,36.93,4.16,0.33,1.0
Chemistry,26.25,3.76,12.01,29.67
Biology,24.12,2.18,3.94,8.73
Biology,32.89,3.06,5.7,13.51
Math,45.82,4.38,0.15,1.0
Literature,99.07,3.85,2.11,5.24
Physics,49.48,4.07,3.6,9.03
Geography,63.56,3.88,2.35,5.84
Physics,68.01,5.0,3.3,8.58
Chemistry,62.62,3.74,5.11,12.61
CS,58.45,3.11,1.41,3.35
Physics,36.09,2.58,5.66,12.96
History,89.02,3.75,0.53,1.31
Physics,96.14,1.06,0.95,1.0
Chemistry,26.35,3.32,0.13,1.0
Geography,39.52,3.29,1.36,3.27
